MONOMER-15468				
G185E-8090-MONOMER	G185E-8090	P0A560	arabinogalactan arabinosyl transferase embA	EmbA
MONOMER-19168	G-43888	Q00870	khs subunit	Khs
AT4G11820-MONOMER	AT4G11820	P54873		
MONOMER-17074	G-14877	Q194Q3	D-oliose 4-ketoreductase	MtmU
MONOMER-19800	G-44504	F8J3D9	marinolic acid--CoA ligase	TmlU
FUM-FLAVO	EG10330	P00363	fumarate reductase flavoprotein subunit	FrdA
MONOMER-17771	G-15445	I3PLR2	3-<i>O</i>-aceylpapaveroxine carboxylesterase	
AT2G44160-MONOMER	AT2G44160		MTHFR2 subunit	
G6674-MONOMER	G6674	P64423	Zn<sup>2+</sup>:H<sup>+</sup> symporter	ZntB, YdaN
MONOMER-19555	G-44257	Q7Z886	trichothecene 7,8-dihydroxylase	
MONOMER18C3-3	G18C3-3	K4DBI3	22-hydroxycholesterol 26-oxidase	
MONOMER-11226				
MONOMER-20187	G-55077	B0TBI8	4-phospho-D-erythronate 3-dehydrogenase	
G3O-31290-MONOMER	G3O-31290	P40549	&alpha;-1,3-mannosyltransferase MMN3	
MONOMER-12360	G-12429	E3UTU0	2,3-dihydro-3-hydroxy-tabersonine-<i>N</i>-methyltransferase	
MONOMER-8602	G-6582	P71016	betaine aldehyde dehydrogenase subunit	GbsA
GLYCRIBONUCSYN-MONOMER	EG10792	P15640		PurD
MONOMER-14555	G-11126	O24382		potassium channel
PPDTHAUERA-MONOMER			phenylpyruvate decarboxylase	
MONOMER-12014	G-9308		anthocyanin 5-(6'''-hydroxycinnamoyltransferase)	anthocyanin 5-aromatic acyltransferase
MONOMER-15450	G-11834	C1K5M3	&beta;-phellandrene synthase 1	phellandrene synthase, phellandrene synthase 1
MONOMERDQC-9	GDQC-114715	B6D9L5	indole-3-pyruvate monooxygenase	Sparse inflorescence1
MONOMER-12890	G-9879	P11886	D-galactose dehydrogenase subunit	Gal
MONOMER-17522				
BAES-MONOMER	EG11617	P30847	sensor histidine kinase BaeS	BaeS
MONOMER-15114	G-11549	Q7WST1	syringate <i>O</i>-demethylase	DesA
MONOMER-18198	G-17708	Q54817	daunorubicin polyketide synthase starter-unit-specifying factor DpsD	DpsD
AT5G13430-MONOMER	AT5G13430	Q94JS0	cytochrome <i>bc</i><sub>1</sub> complex Rieske iron-sulfur-1 subunit	
MONOMER-15907	G-12227	A3SN10	sulfopyruvate decarboxylase &beta; subunit	ComE
MONOMER-19968	G-44668		glycerol-3-phosphate cytidylyltransferase	TarD
DIENOYLCOAREDUCT-MONOMER	G36	P42593		YgjL, FadH
MONOMER-17960	G-15953	P50199	D-gluconate 5-dehydrogenase monomer	Gno
MONOMER-20603	G-58761		glycine reductase component B &beta; subunit	
G7485-MONOMER	G7485	Q46799	putative xanthine dehydrogenase molybdenum-binding subunit XdhA	YgeS, XdhA
MONOMER-18599	G-18064	Q9L4Y0	tetracenomycin F1 monooxygenase	ElmH, Tcm F1 monooxygenase
BSU37150-MONOMER	BSU37150	P13242	CTP synthetase	CtrA, PyrG
HS03819-MONOMER	HS03819	Q16854	mitochondrial deoxyguanosine kinase monomer	dGK
MONOMER-20369	G-58157	A1XI30	lycopene &beta;-elongase BC	
SYNPCC7942_2526-MONOMER	SYNPCC7942_2526	O34126	ClpX	
MONOMER-12593				
MONOMER-2185	G-1544	Q96466	sucrose:fructan 6-fructosyltransferase subunit	
HS00585-MONOMER	HS00585	Q9NRF8	CTP synthase 2	cytidine triphosphate synthase II, UTP-ammonia ligase, CTP synthetase isoform, cytidine 5'-triphosphate synthetase 2, CTP synthase II
MONOMER-13356				
SAPB-MONOMER	G2001	P0AGH3	putrescine ABC exporter membrane subunit SapB	
HS09011-MONOMER	HS09011	O95803	bifunctional heparan sulfate <i>N</i>-deacetylase/<i>N</i>-sulfotransferase 3	glucosaminyl N-deacetylase/N-sulfotransferase 3, hNDST-3, N-heparan sulfate sulfotransferase 3, N-HSST 3, NDST-3
MONOMER-15661	G-12030	B4FHU1	15-<i>cis</i>-&zeta;-carotene isomerase	
YLL041C-MONOMER	YLL041C	P21801	succinate dehydrogenase iron-sulfur protein subunit	
MONOMER-13112				
MONOMER-16346	G-12615	Q9PPA2		GlmU
YBR265W-MONOMER	YBR265W	P38342	3-dehydrosphinganine reductase	3-ketodihydrosphingosine reductase, KDS reductase
MONOMER-13837	G-10554	B2WSM8		
MONOMER-18366	G-17865	Q83WF1	mycinamicin VII 6-deoxyallosyltransferase	MycD
EG11341-MONOMER	EG11341	P25742	lipopolysaccharide core heptosyltransferase 3	WaaQ, RfaQ, HepIII, lipopolysaccharide core heptosyltransferase III
MONOMER-16079	G-12385	Q56163	jadomycin polyketide synthase ketoacyl synthase JadA	JadA
MONOMER-18985	G-43724	Q7U4P2	R-phycocyanin V &alpha;-subunit:phycourobilin lyase/isomerase	RpcG
EG10671-MONOMER	EG10671	P02931	outer membrane porin F	NfxB, TolF, Cry, CmlB, outer membrane protein F, colB, outer membrane protein A<sub>1</sub>, outer membrane protein 1a, outer membrane protein 4, outer membrane protein b, outer membrane protein 0-9, OmpF
MONOMER-16848	G-14673	E3VWK2	11&beta;-hydroxy-1-deoxypentalante dehydrogenase	PenF
MONOMER-20777	G-63036	A0A2U9GHG9	thebaine synthase 1 monomer	
ENSG00000139988-MONOMER	HS06673	Q96NR8	retinol dehydrogenase 12	all-trans and 9-cis retinol dehydrogenase
MONOMER-18761	G-27229	B9WZX0	brevianamide F synthase	FtmA
MONOMER-4422			serine hydroxymethyltransferase subunit	
HS06066-MONOMER	HS06066	P15104	glutamine synthetase subunit	
MONOMER-19368	G-44076	F4Y9J0	nitroarene dioxygenase oxygenase &alpha; subunit	
EG12132-MONOMER	EG12132	P0AAC8	iron-sulfur cluster insertion protein IscA	IscA, YfhF, iron-sulfur cluster assembly protein
MONOMER-1				
MONOMER-3152	G-2245			PuuF
MONOMER-7261			2'-hydroxydihydrodaidzein reductase	
MONOMER-13564	G-10335	Q936S9	cytochrome P450	IpuD
MONOMER-14343	G-10935		lignin peroxidase G	LipG
HS13124-MONOMER	HS13124	Q96PE7	methylmalonyl CoA epimerase	DL-methylmalonyl-CoA racemase
MONOMER-11734	G-9119		subunit PDSTS1	
MONOMER-16529	G-12788	A9ZND1	xylan 1,3-&beta;-xylosidase monomer	XloA
AT1G73370-MONOMER	AT1G73370	Q9FX32	sucrose synthase	
MONOMER-14050	G-10737	Q9RRD7	glutamyl-tRNA<sup>Gln</sup> amidotransferase subunit B	GatB
MONOMER-17320	G-15104	Q0P9D1	UDP-4-amino-4,6-dideoxy-&alpha;-D-N-acetyl-D-glucosamine <i>N</i>-acetyltransferase subunit	PglD
AROEBACSU-MONOMER	G-284			AroE
MONOMER-14888	G-11347	Q50L36	isoprene synthase	
MONOMER-19150	G-43877	A0A024FR43	matairesinol 4'-<i>O</i>-methyltransferase	
G185E-7837-MONOMER	G185E-7837	I6Y3V5	5-hydroxy-3-[(3a<i>S</i>,4<i>S</i>,5<i>R</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl-CoA dehydrogenase	
MONOMER-17058	G-14861	Q53685	oleandomycin glycosyltransferase	OleD
AT4G01690-MONOMER	AT4G01690	P55826	protoporphyrinogen oxidase	PPOX
FRUA-MONOMER	EG10336	P20966	fructose-specific PTS multiphosphoryl transfer protein FruA	FruA, PtsF, Enzyme IIBC<sup>fru</sup>, EIIBC<sup>fru</sup>, EIIB'BC<sup>fru</sup>, Enzyme IIB'BC<sup>fru</sup>
MONOMER-19779	G-44483	A0A0D3RBW0	tryptophan&mdash;pyruvate aminotransferase	
AT2G39930-MONOMER	AT2G39930		isoamylase catalytic subunit	
MONOMER-17753	G-15428	C5NN14	flavonoid glucoside 1,6-glucosyltransferase	
MONOMER-19533	G-44237	P41302	activated long-chain acyl hydrolase	LuxD
G6639-MONOMER	G6639	P77334	cyclic di-GMP phosphodiesterase PdeR	PdeR, Gmr, YciR
MONOMER-11186	G-8705	Q51940	toluene 3-monooxygenase hydroxylase &gamma; subunit	TbuU
MONOMER18C3-143	G18C3-140		sucrose triacyl 6-<i>O</i>-acyltransferase	
G3O-30218-MONOMER	G3O-30218	P40025	lysophosphatidate phosphatase	
MONOMER-20166	G-55056	Q6LY38	CoB-CoM heterodisulfide reductase HdrB1 component	
MONOMER-8562	G-6521	Q83WC4		
MONOMER-12339	G-9523	Q5IT33	carotenoid &beta;-ring 4-dehydrogenase	
MONOMER-14539	G-11110	Q6M0D1	pyruvate carboxylase subunit B	PicB
PKI-MONOMER	EG10804	P0AD61	pyruvate kinase I	PykF
MONOMER-11996				
MONOMER-15422	G-11811			
MONOMER66-34409	G66-37885	Q92523	carnitine O-palmitoyltransferase 1, muscle isoform	
MONOMER-1287			ureidoglycolate amidohydrolase	
MONOMER-17505	G-15244	B1A9J8		
B0612-MONOMER	G6338	P0AE74		YbdS, CitT, CitT citrate DASS Transporter
MONOMER-15093	G-11529	P93082		tryptophan decarboxylase
MONOMER-18181	G-17692	Q55214	aklanonic acid methyltransferase monomer	DauC
AT5G07440-MONOMER	AT5G07440	Q38946	glutamate dehydrogenase &beta; subunit	
MONOMER-15888	G-12207	Q9R919		
MONOMER-19947	G-44646	Q53658	4-amino-anhydrotetracycline <i>N</i><sup>&alpha;</sup>-methyltransferase	CtcO
GLUTRACE-MONOMER	EG11204	P22634	glutamate racemase	YijA, Glr, Dga, MurI
MONOMER-17937	G-15932	Q84T19	&beta;-amylase	
DEHYDDEOXPHOSGALACT-ALDOL-MONOMER	EG20049	Q6BF16		YidU, DgoA
G7423-MONOMER	G7423	Q46893	2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase	YgbP, IspD, 4-diphosphocytidyl-2C-methyl-D-erythritol synthase
MONOMER-20585	G-58742	Q8RL66	mupirocin F 7-reductase	MupF
BSU35580-MONOMER	BSU35580	O32271	UDP-glucose 6-dehydrogenase	YvhD, TuaD
MONOMER-18583	G-18048	W0LV34	ABBA prenyltransferase DzmP	DzmP
MONOMER-20350	G-58138	Q9KK79	lycopene &beta;-cyclase &beta; subunit	
HS03615-MONOMER	HS03615	O75521	enoyl-CoA &Delta; isomerase 2	D3,D2-enoyl-CoA isomerase, DBI-related protein 1, &Delta;3,&Delta;2-enoyl-CoA isomerase, diazepam-binding inhibitor-related protein 1, dodecenoyl-CoA isomerase, DRS-1, hepatocellular carcinoma-associated antigen 88, pECI, renal carcinoma antigen NY-REN-1, ECI2
MONOMER-12571	G-11988	Q6QNI4		
SYNPCC7942_2093-MONOMER	SYNPCC7942_2093	Q8VPV7	CO2 hydration protein	ChpY, CupA
HS00375-MONOMER	HS00375	Q8NE62	choline dehydrogenase	
MONOMER-21016	G-80536	P39481	caldariellaquinol oxidase SoxM complex SoxM subunit	SoxM
ROCABACSU-MONOMER	G-278			RocA
MONOMER-13340	G-10152	Q8VUC7		DntG
MONOMER-15643	G-12012	Q05528		KduD
YKL055C-MONOMER	YKL055C	P35731	3-oxoacyl-[acyl-carrier-protein] reductase	
MONOMER-13086	G-9968	P14611	acetyl-CoA acetyltransferase subunit	PhbA
MONOMER-16324	G-12593	Q4VKU9	diapolycopene oxygenase	
YBR002C-MONOMER	YBR002C	P35196	dehydrodolichyl diphosphate synthase RER2 subunit	
MONOMER-13817			solanesyl diphosphate synthase monomer	
MONOMER-18346	G-17846	A4F5C4	4-hydroxy-2-methylquinoline synthase complex anthraniloyl-CoA-[acp] transferase subunit	AuaE
EG11291-MONOMER	EG11291	P25894	metalloprotease LoiP	LoiP, YggG
MONOMER-16063	G-12368	Q9I296	isovaleryl-CoA dehydrogenase subunit	LiuA
MONOMER-18967			N-hydroxyornithine: acetyl CoA N-transacetylase	
EG10574-MONOMER	EG10574	P15005	5-methylcytosine-specific restriction enzyme subunit McrB	RglB, McrB, MrcB subunit of 5-methylcytosine restriction system
MONOMER-16832	G-14658	O42807	feruloyl esterase A	FaeA, cinnamoyl esterase, ferulic acid esterase A
MONOMER-20760	G-63017	Q93HJ0	oligomycin C12-hydroxylase	OlmB, CYP107W1
ENSG00000135297-MONOMER	HS05977	Q9Y2Z2	MTO1 protein	protein CGI-02, MTO1 protein, homolog of yeast Mto1, Protein MTO1 homolog, mitochondrial
MONOMER-18743	G-27215	Q9FBI2	Shiga toxin subunit A	StxA
MONOMER-426	G-227	Q56316	pyruvate:ferredoxin oxidoreductase &delta; subunit	PorD, &delta; chain
HS05836-MONOMER	HS05836	P54868	mitochondrial hydroxymethylglutaryl-CoA synthase	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial), 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2
MONOMER-19352	G-44062	Q8E8I7	8-amino-3,8-dideoxy-D-manno-octulosonate kinase	KdkA
EG12026-MONOMER	EG12026	P33018	<i>S</i>-formylglutathione hydrolase / <i>S</i>-lactoylglutathione hydrolase	YeiG
MGI:94876-MONOMER	MGI:94876	O88533	L-DOPA decarboxylase	DOPA decarboxylase
MONOMER-3089	G-2322		naphthalene 1,2-dioxygenase complex ferredoxin component	naphthalene 1,2-dioxygenase component C
MONOMER-688	BBSH	Q9KJE7	putative phenylitaconyl-CoA hydratase subunit	BbsH
MONOMER-13547	G-10318	Q94JS8	(<i>E</i>)-&beta;-farnesene synthase	
MONOMER-14327				cardenolide &beta;-D-fucohydrolase
HS11932-MONOMER	HS11932	Q9NTJ5	phosphatidylinositide phosphatase SAC1	phosphoinositide phosphatase
MONOMER-11706	G-10432	Q0QLF1	nicotinate hydroxylase 37 kD subunit	NdhM
MONOMER-16513	G-12776	D4Q9Z5	soyasaponin III rhamnosyltransferase	UGT91H4
AT1G68460-MONOMER	AT1G68460	Q94ID3	adenylate isopentenyltransferase	IPT
MONOMER-14032	G-10720	P87017	hydroxyaverantin dehydrogenase subunit	AflH, AdhA
MONOMER-17297	G-15084	Q6QVU0	gentamycin A2 oxidoreductase/methyltransferase	GntE
ARGFBACSU-MONOMER	G-293		ArgF	ArgF
MONOMER-14871			geranylgeraniol 18-hydroxylase	
MONOMER-19133			pterocarpan 1&alpha;-hydroxylase	
G185E-7812-MONOMER	G185E-7812	P9WQH3	propanal dehydrogenase	HsaG
MONOMER-17039	G-14846	E2RTY6	glucose-6-phosphate isomerase	
AT3G59380-MONOMER	AT3G59380	Q9LX33	farnesyltransferase &alpha;-subunit/geranylgeranyltransferase Type I &alpha; subunit	
FMDBMAUTO-MONOMER	G-347		FmdB protein	FmdB
MONOMER-19763	G-44467	A0A0M3N268	phophonoacetaldehyde reductase	PhpC
AT2G37040-MONOMER	AT2G37040		phenylalanine ammonia lyase	PAL1
MONOMER-17737			quercetin-4'-<i>O</i>-&beta;-glucosidase	
MONOMER-534	G-186			ArcC
G66-32717-MONOMER	G66-32717	Q5VYX0	renalase	MAO-C, monoamine oxidase-C
MONOMER-19514	G-44218	A0A0A8J540	UDP-4-amino-4,6-dideoxy-<em>N</em>-acetyl-&beta;-<small>L</small>-idosamine acetyltransferase	
MONOMER0-4287	G7243		PyrS-<i>N</i>-phospho-L-histidine	PyrS-P<sup>his371</sup>
MONOMER-11082	G-8602	Q9ANX4	toluene <i>ortho</i>-monooxygenase hydroxylase TomA1 subunit	
MONOMER-20148	G-55040	A9CES5	tagatose kinase	
G3O-29445-MONOMER	G3O-39	Q99190	very-long-chain enoyl-CoA reductase	
MONOMER-12318			flavocytochrome <i>c</i> cytochrome subunit	
MONOMER-845			serine hydroxymethyltransferase	
PHNL-MONOMER	EG10721	P16679	methylphosphonate degradation complex subunit PhnL	PhnL
MONOMER-14521	G-11089	Q99KK2	cytidine 5'-monophosphate <i>N</i>-acetylneuraminate synthetase subunit	
MONOMER-15404	G-11797	Q63150	dihydropyrimidinase monomer	
MONOMER-11959	G-9274	P93841		
MONOMER-12852	G-9851			Rmd
MONOMER-17485	G-15233	Q6VAB4	UDPG glucosyltransferase 76G1	
ATMG01360-MONOMER	ATMG01360	P60620	complex IV subunit 1	complex IV subunit 1
MONOMER-15073	G-11509	B7J3C9	tetrathionate hydrolase monomer	Tth, TetH
MONOMER-18162	G-17669	Q95NZ0		
AT5G04490-MONOMER	AT5G04490	Q9LZ76		phosphatidate cytidylyltransferase
MONOMER-15870	G-12192	Q1QWP0	<i>R</i>-sulfolactate sulfo-lyase B subunit	SuyB
MONOMER-19931	G-44630	L8EW00	OxyC acyl-binding protein	OxyC
GLUCONOLACT-MONOMER				
MONOMER-17918				
CYTIDEAM-MONOMER	EG10137	P0ABF6	cytidine/deoxycytidine deaminase	Cdd
G7327-MONOMER	G7327	P0AE01	tRNA Cm32/Um32 methyltransferase	YfhQ, TrmJ, TrMet(Xm32)
MONOMER-20569	G-58360	A2DLU8	phosphoglycerate dehydrogenase	
BSU30630-MONOMER	BSU30630	O35013	nucleoside triphosphate phosphohydrolase	RppH, YtkD
MONOMER-18565	G-18033	Q0QFQ2	gentisate 1,2-dioxygenase II monomer	HbzE
MONOMER4FS-8				
HS03372-MONOMER	HS03372	P09960	leukotriene A4 hydrolase	Leukotriene A(4) hydrolase, LTA-4 hydrolase
MONOMER-20331	G-58120	A0A1S6M1L9	polybrominated diphenyl ether synthase	
SYNPCC7942_1679-MONOMER	SYNPCC7942_1679	Q31ML0	photosystem II reaction center W protein	
MONOMER-12545	G-9632	P26475	dissimilatory sulfite reductase &beta; subunit	AsrB
MONOMER-21				
HS00205-MONOMER	HS00205	P35228	NOS2 monomer	nitric oxide synthase inducible subunit
MONOMER-13321	G-10140	O68391	2-aminomucoate semialdehyde dehydrogenase subunit	AmnC
RHAMNULPALDOL-MONOMER	EG11866	P32169	rhamnulose-1-phosphate aldolase	RhaD
YJL130C-MONOMER	YJL130C	P07259	carbamoyl phosphate synthase/aspartate carbamoyltransferase	URA2 multifunctional protein
MONOMER-15624	G-11994	Q6FFQ2	D-glucarate dehydratase subunit	GudD
MONOMER-16303	G-12577	Q3HUR3	amylopullulanase	Apu
MONOMER-13069	G-9951	Q5VJ89	soluble butane monooxygenase hydroxylase component &beta; subunit	BmoY
MONOMER-13797	G-10527	Q5I6B5		
YAL012W-MONOMER	YAL012W	P31373	Cys3	STR1
EG11237-MONOMER	EG11237	P13656	endochitinase	ChiA, YheB
MONOMER-18329	G-17830	S6BVH5		RauF
MONOMER-18951	G-43697	Q6W5Q7		CanC, FscP
MONOMER-16046	G-12351	Q72CJ7	DsrP	
MONOMER-16810	G-14643	Q1RPP3	ornithine &delta;-aminotransferase	
EG10487-MONOMER	EG10487	P24193	hydrogenase maturation protein, carbamoyl dehydratase	HypE, HydB
HS08547-MONOMER	HS08547	P15538	steroid 11&beta;-hydroxylase	CYPXIB1, P-450c11, P450C11, cyp11B1, cytochrome P450 11B1, mitochondrial
MONOMER-20744	G-63001	A0A0F7VMF7	chaxamycin polyketide synthase C	CxmC
ENSG00000123815-MONOMER	HS13101	Q96D53	AarF domain-containing protein kinase 4	2.7.11.-
MONOMER-18727	G-27200	A7XRY0	didemethylasterriquinone D synthetase	TdiA
MONOMER-4216	G-3267		serine hydroxymethyltransferase	GlyA, SHMT
HS05542-MONOMER	HS05542	P62837	ubiquitin-conjugating enzyme E2D2	E2(17)KB 2, ubiquitin carrier protein D2, ubiquitin-conjugating enzyme E2-17 kDa 2, ubiquitin-protein ligase D2
MONOMER-19336	G-44046	B0CN31	L-tyrosine <em>C</em><small><sup>3</sup></small>-methyltransferase	
EG11915-MONOMER	EG11915	P68739	endonuclease V	YjaF, Nfi, EndoV, deoxyinosine 3'-endonuclease
MGI:1316649-MONOMER	MGI:1316649	Q8CI15	sphingosine kinase 1	
MONOMER-2968	G-2065	P43503	benzaldehyde dehydrogenase monomer	XylC
MONOMER-6762	G-5242	Q9XHE7	(-)-limonene-3-hydroxylase	
MONOMER-13520			ureidoglycolate urea-lyase subunit	
MONOMER-14298			fatty acid epoxide hydrolase	
HS11329-MONOMER	HS11329	O15067	phosphoribosylformylglycinamidine synthase	FGAM synthase, FGAMS, FGARAT, formylglycinamide ribotide amidotransferase, formylglycinamide ribotide synthetase
AT1G65880-MONOMER	AT1G65880	Q9SS01		
YPR069C-MONOMER	YPR069C	Q12074	spermidine synthase	
MONOMER-17281	G-15067	Q53U09	neamine phosphoribosyltransferase	NeoM
MONOMER-16496			4-acetamidobutyrate deacetylase monomer	
MONOMER-14836	G-11322	Q49SP6	germacrene D synthase	
MONOMER-14012				
G185E-7615-MONOMER	G185E-7615	P9WKL1	isocitrate dehydrogenase subunit	
APPA-MONOMER	EG10049	P07102	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase	AppA
AT3G53900-MONOMER	AT3G53900	Q9M336	uracil phosphoribosyltransferase	
MONOMER-19117	G-43850	Q9L4W8		NysN
MONOMER-19747	G-44451	Q8A186	&beta;-1,2-mannosidase	
MONOMER-17021			benzil reductase [(<i>R</i>)-benzoin-forming]	
MONOMER-17720				
FECD-MONOMER	EG10289	P15029	ferric citrate ABC transporter membrane subunit FecD	
MONOMER-11689	G-9094	O74294	gibberellin 13-hydroxylase	
AT2G33070-MONOMER	AT2G33070		nitrile-specifier protein NSP2	
G6565-MONOMER	G6565	P0AB38	outer membrane lipoprotein - activator of MrcB activity	LpoB, YcfM
MONOMER-5221				
MONOMER0-2682	G0-10460	Q47377	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit	YfbW
MONOMER-19497	G-44201	B9ZUJ4	chondrochloren A methyltransferase	CndI
MONOMER-20129	G-55022	Q72LF3	tRNA-5-methyluridine<sup>54</sup> 2-sulfurtransferase	TtuA
MONOMER-1100	G-672	P56767	Photosystem I P700 chlorophyll a apoprotein A2	PsaB, PSI-B
MONOMER-12293	G-10293	Q8RHX8	L-&beta;-lysine-5,6-aminomutase &beta; subunit	KamE
G3IU-7234-MONOMER	G3IU-7234		1,2-&beta;-oligomannan phosphorylase	
PGMI-MONOMER	EG12296	P37689	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	GpmI, GpmC, GpmM, YibO, PgmI
MONOMER-8341	G-6321	P44569	NAD pyrophosphatase	NucA, NadN, HI0206
MONOMER-15381	G-11785	Q9U7N7	falcilysin	
MONOMER-14493	G-11067	A7ISW5		
MONOMER-12826				
MONOMER-11923				
AT5G67590-MONOMER	AT5G67590	Q9FJW4	NADH-ubiquinone oxidoreductase 18/21 kDa subunit	
MONOMER-17462				
MONOMER-18146	G-17653	Q0PCR8	ecdysteroid 22-kinase	Eck
