#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000001405.27	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2014/10/03	GRCh38.p1	Genome Reference Consortium	GCA_000001405.16	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.27_GRCh38.p1		
GCF_000001405.28	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2014/12/05	GRCh38.p2	Genome Reference Consortium	GCA_000001405.17	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.28_GRCh38.p2		
GCF_000001405.29	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2015/04/03	GRCh38.p3	Genome Reference Consortium	GCA_000001405.18	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.29_GRCh38.p3		
GCF_000001405.30	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2015/06/25	GRCh38.p4	Genome Reference Consortium	GCA_000001405.19	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.30_GRCh38.p4		
GCF_000001405.31	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2015/09/22	GRCh38.p5	Genome Reference Consortium	GCA_000001405.20	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.31_GRCh38.p5		
GCF_000001405.32	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2015/12/21	GRCh38.p6	Genome Reference Consortium	GCA_000001405.21	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.32_GRCh38.p6		
GCF_000001405.33	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2016/03/21	GRCh38.p7	Genome Reference Consortium	GCA_000001405.22	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.33_GRCh38.p7		
GCF_000001405.34	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2016/06/30	GRCh38.p8	Genome Reference Consortium	GCA_000001405.23	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.34_GRCh38.p8		
GCF_000001405.35	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2016/09/26	GRCh38.p9	Genome Reference Consortium	GCA_000001405.24	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.35_GRCh38.p9		
GCF_000001405.36	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2017/01/06	GRCh38.p10	Genome Reference Consortium	GCA_000001405.25	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.36_GRCh38.p10		
GCF_000001405.37	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2017/06/14	GRCh38.p11	Genome Reference Consortium	GCA_000001405.26	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.37_GRCh38.p11		
GCF_000001405.38	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2017/12/21	GRCh38.p12	Genome Reference Consortium	GCA_000001405.27	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.38_GRCh38.p12		
GCF_000001405.8	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Major	Full	2003/04/12	NCBI33	International Human Genome Sequencing Consortium	na	na	na		
GCF_000001405.9	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Major	Full	2004/02/04	NCBI34	International Human Genome Sequencing Consortium	na	na	na		
GCF_000001515.1	PRJNA10627		AACZ00000000.2	na	9598	9598	Pan troglodytes		Yerkes chimp pedigree #C0471 (Clint)	suppressed	Chromosome	Major	Partial	2006/03/16	Pan_troglodytes-2.1		na	na	na	partial	
GCF_000001515.3	PRJNA10627		AACZ00000000.2	na	9598	9598	Pan troglodytes		Yerkes chimp pedigree #C0471 (Clint)	suppressed	Chromosome	Major	Full	2006/03/16	Pan_troglodytes-2.1		na	na	na		
GCF_000001515.5	PRJNA10627	SAMN02981217	AACZ00000000.3	na	9598	9598	Pan troglodytes		Yerkes chimp pedigree #C0471 (Clint)	suppressed	Chromosome	Major	Full	2011/03/25	Pan_troglodytes-2.1.4	Chimpanzee Sequencing and Analysis Consortium	GCA_000001515.4	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/515/GCF_000001515.5_Pan_troglodytes-2.1.4		
GCF_000001515.6	PRJNA10627	SAMN02981217	AACZ00000000.3	na	9598	9598	Pan troglodytes		Yerkes chimp pedigree #C0471 (Clint)	suppressed	Chromosome	Major	Full	2011/03/25	Pan_troglodytes-2.1.4	Chimpanzee Sequencing and Analysis Consortium	GCA_000001515.4	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/515/GCF_000001515.6_Pan_troglodytes-2.1.4		
GCF_000001515.7	PRJNA10627	SAMN02981217	AACZ00000000.4	na	9598	9598	Pan troglodytes		Yerkes chimp pedigree #C0471 (Clint)	suppressed	Chromosome	Major	Full	2016/05/03	Pan_tro 3.0	Chimpanzee Sequencing and Analysis Consortium	GCA_000001515.5	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/515/GCF_000001515.7_Pan_tro_3.0		
GCF_000001545.1	PRJNA37793	SAMN02981238	ABGA00000000.1	na	9601	9601	Pongo abelii		ISIS 71	suppressed	Chromosome	Major	Full	2013/08/14	P_pygmaeus_2.0.2	Orangutan Genome Sequencing Consortium	GCA_000001545.2	identical	na		
GCF_000001545.2	PRJNA37793	SAMN02981238		na	9601	9601	Pongo abelii			suppressed	Chromosome	Major	Full	2008/11/13	P_pygmaeus_2.0.2	Orangutan Genome Sequencing Consortium	na	na	na		
GCF_000001545.3	PRJNA37793	SAMN02981238	ABGA00000000.1	na	9601	9601	Pongo abelii		ISIS 71	suppressed	Chromosome	Major	Full	2013/08/14	P_pygmaeus_2.0.2	Orangutan Genome Sequencing Consortium	na	na	na		
GCF_000001545.4	PRJNA37793	SAMN02981238	ABGA00000000.1	na	9601	9601	Pongo abelii		ISIS 71	suppressed	Chromosome	Major	Full	2010/03/08	P_pygmaeus_2.0.2	Orangutan Genome Sequencing Consortium	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/545/GCF_000001545.4_P_pygmaeus_2.0.2		
GCF_000001635.12	PRJNA169	SAMEA3138312	CAAA00000000.1	na	10090	10090	Mus musculus			replaced	Chromosome	Major	Full	2002/05/15	MGSCv3		na	na	na		
GCF_000001635.13	PRJNA169			na	10090	10090	Mus musculus	strain=C57BL/6J		replaced	Chromosome	Major	Full	2005/05/16	MGSCv34		na	na	na		
GCF_000001635.14	PRJNA169			na	10090	10090	Mus musculus			replaced	Chromosome	Major	Full	2005/12/05	MGSCv35		na	na	na		
GCF_000001635.15	PRJNA169			na	10090	10090	Mus musculus			replaced	Chromosome	Major	Full	2006/05/26	MGSCv36		na	na	na		
GCF_000001635.16	PRJNA169			na	10090	10090	Mus musculus			replaced	Chromosome	Major	Full	2007/06/21	MGSCv37	Genome Reference Consortium	GCA_000001635.1	different	na		
GCF_000001635.18	PRJNA169			na	10090	10090	Mus musculus			replaced	Chromosome	Major	Full	2010/10/21	MGSCv37	Genome Reference Consortium	GCA_000001635.1	identical	na		
GCF_000001635.20	PRJNA169			na	10090	10090	Mus musculus			replaced	Chromosome	Major	Full	2012/01/09	GRCm38	Genome Reference Consortium	GCA_000001635.2	identical	na		
GCF_000001635.21	PRJNA169			na	10090	10090	Mus musculus			replaced	Chromosome	Patch	Full	2012/08/21	GRCm38.p1	Genome Reference Consortium	GCA_000001635.3	identical	na		
GCF_000001635.22	PRJNA169			na	10090	10090	Mus musculus			replaced	Chromosome	Patch	Full	2013/03/07	GRCm38.p2	Genome Reference Consortium	GCA_000001635.4	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.22_GRCm38.p2		
GCF_000001635.23	PRJNA169			na	10090	10090	Mus musculus			replaced	Chromosome	Patch	Full	2014/03/20	GRCm38.p3	Genome Reference Consortium	GCA_000001635.5	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.23_GRCm38.p3		
GCF_000001635.24	PRJNA169			na	10090	10090	Mus musculus			replaced	Chromosome	Patch	Full	2015/03/23	GRCm38.p4	Genome Reference Consortium	GCA_000001635.6	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.24_GRCm38.p4		
GCF_000001635.25	PRJNA169			na	10090	10090	Mus musculus			replaced	Chromosome	Patch	Full	2016/06/29	GRCm38.p5	Genome Reference Consortium	GCA_000001635.7	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.25_GRCm38.p5		
GCF_000001735.1	PRJNA116			na	3702	3702	Arabidopsis thaliana			replaced	Complete Genome	Major	Full	2008/04/24	TAIR8		na	na	na		
GCF_000001735.2	PRJNA116	SAMN03081427		na	3702	3702	Arabidopsis thaliana	ecotype=Columbia		replaced	Chromosome	Major	Full	2011/05/11	TAIR9	The Arabidopsis Information Resource (TAIR)	GCA_000001735.1	identical	na		
GCF_000001735.3	PRJNA116	SAMN03081427		na	3702	3702	Arabidopsis thaliana	ecotype=Columbia		replaced	Chromosome	Major	Full	2011/05/11	TAIR10	The Arabidopsis Information Resource (TAIR)	GCA_000001735.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.3_TAIR10		
GCF_000001765.1	PRJNA18793	SAMN00779672	AADE00000000.1	na	46245	7237	Drosophila pseudoobscura pseudoobscura	strain=MV2-25		replaced	Chromosome	Major	Full	2012/09/19	Dpse_2.0	Baylor College of Medicine	na	na	na		
GCF_000001765.2	PRJNA18793	SAMN00779672	AADE00000000.1	na	46245	7237	Drosophila pseudoobscura pseudoobscura	strain=MV2-25		replaced	Chromosome	Major	Full	2012/09/19	Dpse_2.0	Baylor College of Medicine	GCA_000001765.1	identical	na		
GCF_000001895.1	PRJNA12455		AABR00000000.3	na	10116	10116	Rattus norvegicus	strain=BN/SsNHsdMCW		replaced	Chromosome	Major	Full	2004/12/13	RGSC_v3.4		na	na	na		
GCF_000001895.3	PRJNA12455		AABR00000000.3	na	10116	10116	Rattus norvegicus	strain=BN/SsNHsdMCW		replaced	Chromosome	Minor	Full	2004/12/13	RGSC_v3.4		na	na	na		
GCF_000001895.4	PRJNA12455	SAMN02808218	AABR00000000.6	na	10116	10116	Rattus norvegicus	strain=BN/SsNHsdMCW		replaced	Chromosome	Major	Full	2012/03/16	Rnor_5.0	Rat Genome Sequencing Consortium	GCA_000001895.3	different	na		
GCF_000002035.1	PRJNA13922		CAAK00000000.4	na	7955	7955	Danio rerio	strain=Tuebingen		replaced	Chromosome	Major	Full	2008/02/01	Zv7	Wellcome Trust Sanger Institute	na	na	na		
GCF_000002035.2	PRJNA13922	SAMEA3146246	CAAK00000000.5	na	7955	7955	Danio rerio	strain=Tuebingen		replaced	Chromosome	Major	Full	2009/06/23	Zv8	Wellcome Trust Sanger Institute	GCA_000002035.1	different	na		
GCF_000002035.3	PRJNA13922	SAMEA3146246	CAAK00000000.5	na	7955	7955	Danio rerio	strain=Tuebingen		replaced	Chromosome	Major	Full	2009/06/23	Zv8	Wellcome Trust Sanger Institute	GCA_000002035.1	different	na		
GCF_000002035.4	PRJNA13922	SAMEA3146315	CABZ00000000.1	na	7955	7955	Danio rerio	strain=Tuebingen		replaced	Chromosome	Major	Full	2010/07/15	Zv9	Wellcome Trust Sanger Institute	GCA_000002035.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.4_Zv9		
GCF_000002035.5	PRJNA13922	SAMN03020626		na	7955	7955	Danio rerio			replaced	Chromosome	Major	Full	2014/09/02	GRCz10	Genome Reference Consortium	GCA_000002035.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.5_GRCz10		
GCF_000002115.1		SAMN02981219	AADD00000000.1	na	9606	9606	Homo sapiens			suppressed	Chromosome	Major	Full	2004/02/25	Hs_Celera_WGSA		na	na	na		
GCF_000002115.2		SAMN02981219	AADB00000000.2	na	9606	9606	Homo sapiens			suppressed	Chromosome	Major	Full	2006/05/12	Hs_Celera		na	na	na		
GCF_000002125.1	PRJNA20837	SAMN02981236	ABBA00000000.1	na	9606	9606	Homo sapiens			suppressed	Chromosome	Major	Full	2007/09/24	HuRef	J. Craig Venter Institute	GCA_000002125.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/125/GCF_000002125.1_HuRef		
GCF_000002135.1	PRJNA16133		AACC00000000.1	na	9606	9606	Homo sapiens			suppressed	Chromosome	Major	Partial	2003/04/11	CRA_TCAGchr7v1	The Centre for Applied Genomics	GCA_000002135.1	different	na	partial	
GCF_000002135.2	PRJNA10793			na	9606	9606	Homo sapiens			suppressed	Chromosome	Major	Partial	2004/09/01	CRA_TCAGchr7v2	The Centre for Applied Genomics	GCA_000002135.3	identical	na	partial	
GCF_000002165.1	PRJNA16113	SAMN03004379	AAHY00000000.1	na	10090	10090	Mus musculus	strain=mixed		suppressed	Chromosome	Major	Full	2005/07/07	Mm_Celera		na	na	na		
GCF_000002165.2	PRJNA16113	SAMN03004379	AAHY00000000.1	na	10090	10090	Mus musculus	strain=mixed		suppressed	Chromosome	Major	Full	2006/12/06	Mm_Celera	Celera Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/165/GCF_000002165.2_Mm_Celera		
GCF_000002175.1	PRJNA16845	SAMD00067074		na	37012	9598	Pan troglodytes verus			suppressed	Chromosome	Major	Partial	2006/04/20	CCYSCv1	The Chimpanzee Chromosome Y Sequencing Consortium	GCA_000002175.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/175/GCF_000002175.1_CCYSCv1	partial	
GCF_000002195.1	PRJNA13343		AADG00000000.4	na	7460	7460	Apis mellifera	strain=DH4		suppressed	Chromosome	Major	Full	2005/01/25	Amel_2.0		na	na	na		
GCF_000002195.2	PRJNA13343		AADG00000000.5	na	7460	7460	Apis mellifera	strain=DH4		suppressed	Chromosome	Major	Full	2005/05/05	Amel_4.0		na	na	na		
GCF_000002195.3	PRJNA13343		AADG00000000.5	na	7460	7460	Apis mellifera	strain=DH4		suppressed	Chromosome	Major	Full	2005/05/05	Amel_4.0		na	na	na		
GCF_000002195.4	PRJNA13343	SAMN00002455	AADG00000000.6	na	7460	7460	Apis mellifera	strain=DH4		suppressed	Chromosome	Major	Full	2011/01/14	Amel_4.5	Human Genome Sequencing Center	GCA_000002195.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/195/GCF_000002195.4_Amel_4.5		
GCF_000002235.1	PRJNA13728		AAGJ00000000.1	na	7668	7668	Strongylocentrotus purpuratus		A3	replaced	Scaffold	Major	Full	2005/03/11	Spur_0.5		na	na	na		
GCF_000002235.2	PRJNA13728		AAGJ00000000.2	na	7668	7668	Strongylocentrotus purpuratus		A3	replaced	Scaffold	Major	Full	2006/08/11	Spur_v2.1		na	na	na		
GCF_000002235.3	PRJNA13728	SAMN00829422	AAGJ00000000.4	na	7668	7668	Strongylocentrotus purpuratus			replaced	Scaffold	Major	Full	2011/06/10	Spur_3.1	Baylor College of Medicine	GCA_000002235.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/235/GCF_000002235.3_Spur_3.1		
GCF_000002235.4	PRJNA13728	SAMN00829422	AAGJ00000000.5	na	7668	7668	Strongylocentrotus purpuratus		Spur 01	replaced	Scaffold	Major	Full	2015/03/10	Spur_4.2	Baylor College of Medicine	GCA_000002235.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/235/GCF_000002235.4_Spur_4.2		
GCF_000002245.1	PRJNA56067		AAGJ00000000.2	na	7668	7668	Strongylocentrotus purpuratus		A3	suppressed	Scaffold	Major	Partial	2006/08/11	NCBI_super-scaffold_of_Spur_v2.1		na	na	na	partial	
GCF_000002255.1	PRJNA16397	SAMN02981228		na	9544	9544	Macaca mulatta			suppressed	Chromosome	Major	Full	2006/02/27	Mmul_051212		GCA_000002255.2	different	na		
GCF_000002255.2	PRJNA16397	SAMN02981228	AANU00000000.1	na	9544	9544	Macaca mulatta		17573	suppressed	Chromosome	Major	Full	2006/02/27	Mmul_051212		GCA_000002255.2	different	na		
GCF_000002255.3	PRJNA16397	SAMN02981228	AANU00000000.1	na	9544	9544	Macaca mulatta		17573	suppressed	Chromosome	Major	Full	2006/02/27	Mmul_051212		GCA_000002255.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/255/GCF_000002255.3_Mmul_051212		
GCF_000002265.1	PRJNA16219	SAMN03000701		na	10116	10116	Rattus norvegicus			replaced	Chromosome	Major	Full	2006/12/06	Rn_Celera	Celera Genomics	GCA_000002265.1	different	na		
GCF_000002275.1	PRJNA19039	SAMN02953646	AAPN00000000.1	na	9258	9258	Ornithorhynchus anatinus		Glennie	suppressed	Chromosome	Major	Full	2011/06/17	Ornithorhynchus_anatinus-5.0.1	Washington University (WashU)	na	na	na		
GCF_000002275.2	PRJNA19039	SAMN02953646	AAPN00000000.1	na	9258	9258	Ornithorhynchus anatinus		Glennie	suppressed	Chromosome	Major	Full	2011/06/17	Ornithorhynchus_anatinus-5.0.1	Washington University (WashU)	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/275/GCF_000002275.2_Ornithorhynchus_anatinus_5.0.1		
GCF_000002285.1	PRJNA12384		AAEX00000000.2	na	9615	9612	Canis lupus familiaris	breed=boxer		replaced	Chromosome	Major	Full	2005/07/12	CanFam2.0	Dog Genome Sequencing Consortium	GCA_000002285.1	identical	na		
GCF_000002285.2	PRJNA12384		AAEX00000000.2	na	9615	9612	Canis lupus familiaris	breed=boxer		replaced	Chromosome	Minor	Full	2005/07/12	CanFam2.0	Dog Genome Sequencing Consortium	GCA_000002285.1	different	na		
GCF_000002295.1	PRJNA15683	SAMN02953611	AAFR00000000.3	na	13616	13616	Monodelphis domestica			replaced	Chromosome	Major	Full	2007/01/25	MonDom5	The Genome Sequencing Platform, The Genome Assembly Team	na	na	na		
GCF_000002305.1	PRJNA19129	SAMN02953672	AAWR00000000.2	na	9796	9796	Equus caballus	breed=thoroughbred	Twilight	suppressed	Chromosome	Major	Full	2007/10/29	EquCab2.0	The Genome Assembly Team	GCA_000002305.1	identical	na		
GCF_000002305.2	PRJNA19129	SAMN02953672	AAWR00000000.2	na	9796	9796	Equus caballus	breed=thoroughbred	Twilight	suppressed	Chromosome	Major	Full	2007/10/29	EquCab2.0	The Genome Assembly Team	GCA_000002305.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/305/GCF_000002305.2_EquCab2.0		
GCF_000002315.1	PRJNA10808	SAMN02981218	AADN00000000.2	na	9031	9031	Gallus gallus	breed=Red Jungle fowl, inbred line UCD001	#256	replaced	Chromosome	Major	Full	2006/11/01	Gallus_gallus-2.1	International Chicken Genome Consortium	GCA_000002315.1	identical	na		
GCF_000002315.2	PRJNA10808	SAMN02981218	AADN00000000.2	na	9031	9031	Gallus gallus	breed=Red Jungle fowl, inbred line UCD001	#256	replaced	Chromosome	Major	Full	2006/11/01	Gallus_gallus-2.1	International Chicken Genome Consortium	GCA_000002315.1	different	na		
GCF_000002315.3	PRJNA10808	SAMN02981218	AADN00000000.3	na	9031	9031	Gallus gallus	breed=Red Jungle fowl, inbred line UCD001	#256	replaced	Chromosome	Major	Full	2011/11/22	Gallus_gallus-4.0	International Chicken Genome Consortium	GCA_000002315.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/315/GCF_000002315.3_Gallus_gallus-4.0		
GCF_000002315.4	PRJNA10808	SAMN02981218	AADN00000000.4	na	9031	9031	Gallus gallus	breed=Red Jungle fowl, inbred line UCD001	RJF #256	replaced	Chromosome	Major	Full	2015/12/16	Gallus_gallus-5.0	International Chicken Genome Consortium	GCA_000002315.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/315/GCF_000002315.4_Gallus_gallus-5.0		
GCF_000002315.5	PRJNA10808	SAMN02981218	AADN00000000.5	na	9031	9031	Gallus gallus	breed=Red Jungle fowl, inbred line UCD001	RJF #256	replaced	Chromosome	Major	Full	2018/03/27	GRCg6a	Genome Reference Consortium	GCA_000002315.5	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/315/GCF_000002315.5_GRCg6a		
GCF_000002325.1	PRJNA20073	SAMN02902141	AAZX00000000.1	na	7425	7425	Nasonia vitripennis	strain=AsymCX		suppressed	Scaffold	Major	Full	2007/07/06	Nvit_1.0		na	na	na		
GCF_000002325.2	PRJNA20073	SAMN02902141	AAZX00000000.1	na	7425	7425	Nasonia vitripennis	strain=AsymCX		suppressed	Chromosome	Major	Full	2010/05/07	Nvit_2.0	Baylor College of Medicine	GCA_000002325.1	identical	na		
GCF_000002325.3	PRJNA20073	SAMN02902141	AAZX00000000.1	na	7425	7425	Nasonia vitripennis	strain=AsymCX		suppressed	Chromosome	Major	Full	2012/11/28	Nvit_2.1	Baylor College of Medicine	GCA_000002325.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/325/GCF_000002325.3_Nvit_2.1		
GCF_000002335.1	PRJNA15718	SAMN02953634	AAJJ00000000.1	na	7070	7070	Tribolium castaneum	strain=Georgia GA2		replaced	Chromosome	Major	Full	2009/07/08	Tcas_3.0	Baylor College of Medicine	GCA_000002335.2	identical	na		
GCF_000002335.2	PRJNA15718	SAMN02953634	AAJJ00000000.1	na	7070	7070	Tribolium castaneum	strain=Georgia GA2		replaced	Chromosome	Patch	Full	2009/07/08	Tcas_3.0	Baylor College of Medicine	GCA_000002335.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/335/GCF_000002335.2_Tcas_3.0		
GCF_000002415.1	PRJNA20431	SAMN02953638	AAKM00000000.1	na	5855	5855	Plasmodium vivax		Salvador I	suppressed	Chromosome	Major	Full	2006/09/11	ASM241v1		na	na	na		
GCF_000002425.1	PRJNA28131	SAMN00120126	ABEU00000000.1	na	3218	3218	Physcomitrella patens	ecotype=Gransden 2004		suppressed	Chromosome	Major	Full	2007/11/27	ASM242v1		na	na	na		
GCF_000002425.2	PRJNA28131	SAMN00120126	ABEU00000000.1	na	3218	3218	Physcomitrella patens	ecotype=Gransden 2004		replaced	Scaffold	Major	Full	2007/12/14	V1.1	Moss Genome Consortium	GCA_000002425.1	different	na		
GCF_000002425.3	PRJNA28131	SAMN00120126	ABEU00000000.1	na	3218	3218	Physcomitrella patens	ecotype=Gransden 2004		replaced	Scaffold	Major	Full	2007/12/14	V1.1	Moss Genome Consortium	GCA_000002425.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/425/GCF_000002425.3_V1.1		
GCF_000002445.1	PRJNA15565	SAMN02953625		na	185431	5691	Trypanosoma brucei brucei TREU927	strain=927/4 GUTat10.1	927/4 GUTat10.1	replaced	Chromosome	Major	Full	2005/12/14	ASM244v1		na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/445/GCF_000002445.1_ASM244v1		
