Index_initial	Name_initial	Name_trimmed	Note	seq_number	species_taxid
95.0	Megasphaera_elsdenii	Megasphaera elsdenii		11.0	907
96.0	Methanobrevibacter_smithii	Methanobrevibacter smithii		29.0	2173
97.0	Methanosphaera_stadtmanae	Methanosphaera stadtmanae		3.0	2317
98.0	Mitsuokella_multacida	Mitsuokella multacida		3.0	52226
99.0	Oribacterium_sinus	Oribacterium sinus		1.0	237576
100.0	Prevotella_buccalis	Prevotella buccalis		4.0	28127
101.0	Pyramidobacter_piscolens	Pyramidobacter piscolens		1.0	638849
102.0	Ruminococcus_champanellensis	Ruminococcus champanellensis		3.0	1161942
103.0	Streptococcus_anginosus	Streptococcus anginosus		68.0	1328
104.0	Streptococcus_constellatus	Streptococcus constellatus		18.0	76860
105.0	Streptococcus_equinus	Streptococcus equinus		44.0	1335
106.0	Streptococcus_gallolyticus	Streptococcus gallolyticus		26.0	315405
107.0	Streptococcus_gordonii	Streptococcus gordonii		53.0	1302
108.0	Streptococcus_mutans	Streptococcus mutans		200.0	1309
109.0	Streptococcus_sp__C150	Streptococcus sp. C150		1.0	435842
110.0	Streptococcus_sp__M143	Streptococcus sp. M143		1.0	563037
111.0	Streptococcus_sp__oral_taxon_071	Streptococcus sp. oral taxon 071 str. 73H25AP		1.0	712630
112.0	Streptococcus_vestibularis	Streptococcus vestibularis		8.0	1343
113.0	Turicibacter_sanguinis	Turicibacter sanguinis		8.0	154288
114.0	Veillonella_sp__oral_taxon_158	Veillonella sp. oral taxon 158 str. F0412		1.0	671228
115.0	X_Bacteroides__pectinophilus	[Bacteroides] pectinophilus		2.0	384638
116.0	X_Ruminococcus__gnavus	[Ruminococcus] gnavus		41.0	33038
117.0	unclassified_Lachnospiraceae	unclassified Lachnospiraceae		0.0	set()
