Index_initial	Name_initial	Name_trimmed	Note	seq_counts	# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
25.0	Roseburia_intestinalis	Roseburia intestinalis		11.0	GCF_000156535.1	PRJNA224116	SAMN00008856	ABYJ00000000.2	representative genome	536231	166486	Roseburia intestinalis L1-82	strain=L1-82		latest	Scaffold	Major	Full	2009/06/22	ASM15653v1	Washington University Genome Sequencing Center	GCA_000156535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/535/GCF_000156535.1_ASM15653v1		assembly from type material
26.0	butyrate_producing_bacterium_SS3_4	butyrate-producing bacterium SS3/4		1.0	GCF_000209895.1	PRJNA197159	SAMEA3138354		na	245014	245014	butyrate-producing bacterium SS3/4	strain=SS3/4		suppressed	Chromosome	Major	Full	2010/03/25	ASM20989v1	MetaHIT	GCA_000209895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/895/GCF_000209895.1_ASM20989v1	missing rRNA genes	
27.0	Ruminococcus_sp__SR1_5	Ruminococcus sp. SR1/5		1.0	GCF_000209835.1	PRJNA197156	SAMEA3138351		na	657323	657323	Ruminococcus sp. SR1/5	strain=SR1/5		suppressed	Chromosome	Major	Full	2010/03/25	ASM20983v1	MetaHIT	GCA_000209835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/835/GCF_000209835.1_ASM20983v1	missing rRNA genes	
28.0	butyrate_producing_bacterium	butyrate-producing bacterium		2.0	GCF_000210675.1	PRJNA197180	SAMEA3138375		na	245012	245012	butyrate-producing bacterium SM4/1	strain=SM4/1		suppressed	Chromosome	Major	Full	2010/04/23	ASM21067v1	metaHIT	GCA_000210675.1	identical	na	fragmented assembly	
29.0	Eubacterium_hallii	Anaerobutyricum hallii	?	10.0	GCF_000173975.1	PRJNA224116	SAMN02415618	ACEP00000000.1	representative genome	411469	39488	Anaerobutyricum hallii DSM 3353	strain=DSM 3353		latest	Contig	Major	Full	2009/02/03	ASM17397v1	Washington University Genome Sequencing Center	GCA_000173975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/975/GCF_000173975.1_ASM17397v1		assembly from type material
30.0	Dorea_formicigenerans	Dorea formicigenerans		28.0	GCF_000169235.1	PRJNA224116	SAMN00000008	AAXA00000000.2	representative genome	411461	39486	Dorea formicigenerans ATCC 27755	strain=ATCC 27755		latest	Contig	Major	Full	2007/10/10	ASM16923v1	Washington University Genome Sequencing Center	GCA_000169235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/235/GCF_000169235.1_ASM16923v1		assembly from type material
31.0	Roseburia_hominis	Roseburia hominis		4.0	GCF_000225345.1	PRJNA224116	SAMN02604129		representative genome	585394	301301	Roseburia hominis A2-183	strain=A2-183		latest	Complete Genome	Major	Full	2011/09/06	ASM22534v1	University of Aberdeen	GCA_000225345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/345/GCF_000225345.1_ASM22534v1		assembly from type material
32.0	X_Ruminococcus__obeum	Blautia obeum	?	38.0	GCF_000153905.1	PRJNA224116	SAMN00627103	AAVO00000000.2	representative genome	411459	40520	Blautia obeum ATCC 29174	strain=ATCC 29174		latest	Scaffold	Major	Full	2007/05/25	ASM15390v1	Washington University Genome Sequencing Center	GCA_000153905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/905/GCF_000153905.1_ASM15390v1		assembly from type material
33.0	Coprococcus_catus	Coprococcus catus		2.0	GCF_003433855.1	PRJNA224116	SAMN09734717	QVEP00000000.1	na	116085	116085	Coprococcus catus	strain=AF45-17		latest	Scaffold	Major	Full	2018/08/31	ASM343385v1	BGI	GCA_003433855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/433/855/GCF_003433855.1_ASM343385v1		
34.0	Prevotella_copri	Prevotella copri		106.0	GCF_000157935.1	PRJNA224116	SAMN00008847	ACBX00000000.2	representative genome	537011	165179	Prevotella copri DSM 18205	strain=DSM 18205		latest	Scaffold	Major	Full	2009/10/02	ASM15793v1	Washington University Genome Sequencing Center	GCA_000157935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/935/GCF_000157935.1_ASM15793v1		assembly from type material
35.0	Clostridium_bolteae	[Clostridium] bolteae		16.0	GCF_000371705.1	PRJNA224116	SAMN02596758	AGYH00000000.1	representative genome	997894	208479	[Clostridium] bolteae 90A9	strain=90A9		latest	Scaffold	Major	Full	2013/04/19	Clos_bolt_90A9_V1	Broad Institute	GCA_000371705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/371/705/GCF_000371705.1_Clos_bolt_90A9_V1		
36.0	Bacteroides_fragilis	Bacteroides fragilis		165.0	GCF_000009925.1	PRJNA58195	SAMD00061068		reference genome	295405	817	Bacteroides fragilis YCH46	strain=YCH46		latest	Complete Genome	Major	Full	2004/09/16	ASM992v1	Kitasato Univ.	GCA_000009925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/925/GCF_000009925.1_ASM992v1		
37.0	Bifidobacterium_longum	Bifidobacterium longum		325.0	GCF_000007525.1	PRJNA57939	SAMN02603675		reference genome	206672	216816	Bifidobacterium longum NCC2705	strain=NCC2705		latest	Complete Genome	Major	Full	2005/01/21	ASM752v1	Nestle Research Center, Switzerland	GCA_000007525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/525/GCF_000007525.1_ASM752v1		
38.0	Bifidobacterium_adolescentis	Bifidobacterium adolescentis		51.0	GCF_000010425.1	PRJNA224116	SAMD00061080		representative genome	367928	1680	Bifidobacterium adolescentis ATCC 15703	strain=ATCC 15703		latest	Complete Genome	Major	Full	2006/12/05	ASM1042v1	Gifu University, Life Science Research Center, Japan	GCA_000010425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/425/GCF_000010425.1_ASM1042v1		assembly from type material
39.0	Streptococcus_thermophilus	Streptococcus thermophilus		60.0	GCF_000253395.1	PRJNA224116	SAMEA2272807		representative genome	1051074	1308	Streptococcus thermophilus JIM 8232	strain=JIM 8232		latest	Complete Genome	Major	Full	2011/07/04	ASM25339v1	Institut National de la Recherche Agronomique (INRA)	GCA_000253395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/395/GCF_000253395.1_ASM25339v1		
40.0	Akkermansia_muciniphila	Akkermansia muciniphila		128.0	GCF_000020225.1	PRJNA224116	SAMN00138213		representative genome	349741	239935	Akkermansia muciniphila ATCC BAA-835	strain=ATCC BAA-835		latest	Complete Genome	Major	Full	2008/05/05	ASM2022v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000020225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/225/GCF_000020225.1_ASM2022v1		assembly from type material
41.0	Pseudoflavonifractor_capillosus	Pseudoflavonifractor capillosus		1.0	GCF_000169255.2	PRJNA224116	SAMN00627059	AAXG00000000.2	representative genome	411467	106588	Pseudoflavonifractor capillosus ATCC 29799	strain=ATCC 29799		latest	Contig	Major	Full	2009/02/09	ASM16925v2	Washington University Genome Sequencing Center	GCA_000169255.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/255/GCF_000169255.2_ASM16925v2		assembly from type material
42.0	Holdemania_filiformis	Holdemania filiformis		3.0	GCF_000157995.1	PRJNA224116	SAMN00008830	ACCF00000000.1	na	545696	61171	Holdemania filiformis DSM 12042	strain=DSM 12042		latest	Scaffold	Major	Full	2009/02/24	ASM15799v1	Washington University Genome Sequencing Center	GCA_000157995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/995/GCF_000157995.1_ASM15799v1		assembly from type material
43.0	Ruminococcaceae_bacterium_D16	Ruminococcaceae bacterium D16		1.0	GCF_000177015.3	PRJNA224116	SAMN02463841	ADDX00000000.2	na	552398	552398	Ruminococcaceae bacterium D16	strain=D16		latest	Scaffold	Major	Full	2013/09/30	Rumi_bact_D16_V2	Broad Institute	GCA_000177015.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/177/015/GCF_000177015.3_Rumi_bact_D16_V2		
44.0	Streptococcus_salivarius	Streptococcus salivarius		98.0	GCF_000785515.1	PRJNA224116	SAMN03174835		representative genome	1304	1304	Streptococcus salivarius	strain=NCTC 8618		latest	Complete Genome	Major	Full	2014/11/19	ASM78551v1	University of Otago	GCA_000785515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/785/515/GCF_000785515.1_ASM78551v1		assembly from type material
45.0	Clostridium_leptum	[Clostridium] leptum		5.0	GCF_000154345.1	PRJNA224116	SAMN00627074	ABCB00000000.2	representative genome	428125	1535	[Clostridium] leptum DSM 753	strain=DSM 753		latest	Scaffold	Major	Full	2007/08/21	ASM15434v1	Washington University Genome Sequencing Center	GCA_000154345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/345/GCF_000154345.1_ASM15434v1		assembly from type material
46.0	Eubacterium_siraeum	[Eubacterium] siraeum		3.0	GCF_000382085.1	PRJNA224116	SAMN02440977	ARNC00000000.1	representative genome	428128	39492	[Eubacterium] siraeum DSM 15702	strain=DSM 15702		latest	Scaffold	Major	Full	2013/04/24	ASM38208v1	DOE Joint Genome Institute	GCA_000382085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/085/GCF_000382085.1_ASM38208v1		assembly from type material
47.0	Eubacterium_ventriosum	Eubacterium ventriosum		9.0	GCF_000153885.1	PRJNA224116	SAMN00627091	AAVL00000000.2	representative genome	411463	39496	Eubacterium ventriosum ATCC 27560	strain=ATCC 27560		latest	Scaffold	Major	Full	2007/05/25	ASM15388v1	Washington University Genome Sequencing Center	GCA_000153885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/885/GCF_000153885.1_ASM15388v1		assembly from type material
48.0	Parasutterella_excrementihominis	Parasutterella excrementihominis		15.0	GCF_000205025.1	PRJNA224116	SAMN00189152	AFBP00000000.1	representative genome	762966	487175	Parasutterella excrementihominis YIT 11859	strain=YIT 11859		latest	Scaffold	Major	Full	2011/04/20	ASM20502v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000205025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/205/025/GCF_000205025.1_ASM20502v1		assembly from type material
49.0	Eggerthella_lenta	Eggerthella lenta		39.0	GCF_000024265.1	PRJNA224116	SAMN00002594		representative genome	479437	84112	Eggerthella lenta DSM 2243	strain=DSM 2243		latest	Complete Genome	Major	Full	2009/09/09	ASM2426v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/265/GCF_000024265.1_ASM2426v1		assembly from type material
50.0	Streptococcus_parasanguinis	Streptococcus parasanguinis		59.0	GCF_000164675.2	PRJNA224116	SAMN00113608		representative genome	760570	1318	Streptococcus parasanguinis ATCC 15912	strain=ATCC 15912		latest	Complete Genome	Major	Full	2011/06/10	ASM16467v2	Baylor College of Medicine	GCA_000164675.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/675/GCF_000164675.2_ASM16467v2		assembly from type material
51.0	Ruminococcus_lactaris	Ruminococcus lactaris		6.0	GCF_000155205.1	PRJNA224116	SAMN00000022	ABOU00000000.2	representative genome	471875	46228	Ruminococcus lactaris ATCC 29176	strain=ATCC 29176		latest	Scaffold	Major	Full	2008/08/28	ASM15520v1	Washington University Genome Sequencing Center	GCA_000155205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/205/GCF_000155205.1_ASM15520v1		assembly from type material
52.0	Haemophilus_parainfluenzae	Haemophilus parainfluenzae		40.0	GCF_000191405.1	PRJNA224116	SAMN00253308	AEWU00000000.1	na	888828	729	Haemophilus parainfluenzae ATCC 33392	strain=ATCC 33392		latest	Scaffold	Major	Full	2011/03/04	ASM19140v1	Baylor College of Medicine	GCA_000191405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/405/GCF_000191405.1_ASM19140v1		assembly from type material
53.0	Bifidobacterium_catenulatum_Bifidobacterium_pseudocatenulatum_complex	Bifidobacterium catenulatum		15.0	GCF_001025195.1	PRJNA224116	SAMD00061042		na	566552	1686	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	strain=JCM 1194		latest	Complete Genome	Major	Full	2015/03/24	ASM102519v1	Graduate School of Frontier Sciences, University of Tokyo	GCA_001025195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/025/195/GCF_001025195.1_ASM102519v1		assembly from type material
53.1		Bifidobacterium pseudocatenulatum		72.0	GCF_001025215.1	PRJNA224116	SAMD00061045		na	547043	28026	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	strain=JCM 1200		latest	Complete Genome	Major	Full	2015/03/24	ASM102521v1	Graduate School of Frontier Sciences, University of Tokyo	GCA_001025215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/025/215/GCF_001025215.1_ASM102521v1		assembly from type material
54.0	X_Clostridium__bartlettii	Intestinibacter bartlettii	?	5.0	GCF_000154445.1	PRJNA224116	SAMN02299419	ABEZ00000000.2	representative genome	445973	261299	Intestinibacter bartlettii DSM 16795	strain=DSM 16795		latest	Scaffold	Major	Full	2007/11/01	ASM15444v1	Washington University Genome Sequencing Center	GCA_000154445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/445/GCF_000154445.1_ASM15444v1		assembly from type material
55.0	Veillonella_parvula	Veillonella parvula		14.0	GCF_000024945.1	PRJNA224116	SAMN00002609		representative genome	479436	29466	Veillonella parvula DSM 2008	strain=DSM 2008		latest	Complete Genome	Major	Full	2009/11/19	ASM2494v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/945/GCF_000024945.1_ASM2494v1		assembly from type material
56.0	Acidaminococcus_fermentans	Acidaminococcus fermentans		5.0	GCF_000025305.1	PRJNA224116	SAMN02598507		representative genome	591001	905	Acidaminococcus fermentans DSM 20731	strain=DSM 20731		latest	Complete Genome	Major	Full	2010/01/15	ASM2530v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000025305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/305/GCF_000025305.1_ASM2530v1		assembly from type material
57.0	Acidaminococcus_intestini	Acidaminococcus intestini		4.0	GCF_000230275.1	PRJNA224116	SAMN02603738		representative genome	568816	187327	Acidaminococcus intestini RyC-MR95	strain=RyC-MR95		latest	Complete Genome	Major	Full	2011/10/07	ASM23027v1	Ramon y Cajal University Hospital  of Madrid, Valencia University and Public Health Research Superior Center (CSISP) of Valencia's Goverment, Spain	GCA_000230275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/275/GCF_000230275.1_ASM23027v1		
58.0	Anaerostipes_caccae	Anaerostipes caccae		4.0	GCF_000154305.1	PRJNA224116	SAMN00627053	ABAX00000000.3	representative genome	411490	105841	Anaerostipes caccae DSM 14662	strain=DSM 14662		latest	Scaffold	Major	Full	2007/11/14	ASM15430v1	Washington University Genome Sequencing Center	GCA_000154305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/305/GCF_000154305.1_ASM15430v1		assembly from type material
